"filename", "language", "XML", "JSON with Comments", "Markdown", "JavaScript", "JavaScript JSX", "JSON", "CSS", "CSV", "comment", "blank", "total"
"c:\Users\21365\Desktop\op\gis\components\ui\select.jsx", "JavaScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 15, 123
"c:\Users\21365\Desktop\op\gis\components\ui\skeleton.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\21365\Desktop\op\gis\components\ui\switch.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\21365\Desktop\op\gis\components\ui\table.jsx", "JavaScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 0, 11, 87
"c:\Users\21365\Desktop\op\gis\components\ui\tabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\21365\Desktop\op\gis\components\ui\textarea.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\21365\Desktop\op\gis\components\ui\toast.jsx", "JavaScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 11, 84
"c:\Users\21365\Desktop\op\gis\components\ui\toaster.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\21365\Desktop\op\gis\components\ui\use-toast.js", "JavaScript", 0, 0, 0, 128, 0, 0, 0, 0, 3, 25, 156
"c:\Users\21365\Desktop\op\gis\components\well\AddressCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 2, 1, 27
"c:\Users\21365\Desktop\op\gis\components\well\Table.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 6, 4, 64
"c:\Users\21365\Desktop\op\gis\components\well\WellForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 512, 0, 0, 0, 1, 7, 520
"c:\Users\21365\Desktop\op\gis\constants\achraf.js", "JavaScript", 0, 0, 0, 519, 0, 0, 0, 0, 0, 0, 519
"c:\Users\21365\Desktop\op\gis\constants\data.js", "JavaScript", 0, 0, 0, 6808, 0, 0, 0, 0, 0, 1, 6809
"c:\Users\21365\Desktop\op\gis\constants\polyline.geojson", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 31
"c:\Users\21365\Desktop\op\gis\context\AuthContext.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 10, 68
"c:\Users\21365\Desktop\op\gis\context\CoordContext.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\21365\Desktop\op\gis\context\CoordContextProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\21365\Desktop\op\gis\context\CreatePipeFormContext.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\21365\Desktop\op\gis\context\CreatePipeFormContextProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 4, 8, 51
"c:\Users\21365\Desktop\op\gis\context\DataContext.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\21365\Desktop\op\gis\context\DataContextProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\21365\Desktop\op\gis\context\DataMapContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21365\Desktop\op\gis\context\WellContext.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\21365\Desktop\op\gis\context\WellContextProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"c:\Users\21365\Desktop\op\gis\jsconfig.json", "JSON with Comments", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\21365\Desktop\op\gis\lib\functions.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 0, 6, 16, 82
"c:\Users\21365\Desktop\op\gis\lib\utils.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\21365\Desktop\op\gis\next.config.mjs", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
"c:\Users\21365\Desktop\op\gis\package-lock.json", "JSON", 0, 0, 0, 0, 0, 7963, 0, 0, 0, 1, 7964
"c:\Users\21365\Desktop\op\gis\package.json", "JSON", 0, 0, 0, 0, 0, 66, 0, 0, 0, 1, 67
"c:\Users\21365\Desktop\op\gis\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\21365\Desktop\op\gis\public\add.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\eye.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\fire.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\layer.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\manifold.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\moin.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\next.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\pipe.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\puit.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\ruler.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\station.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\public\vercel.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\tailwind.config.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 1, 0, 42
"c:\Users\21365\Desktop\op\gis\tsconfig.json", "JSON with Comments", 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"Total", "-", 12, 50, 276, 7728, 11833, 8078, 60, 156, 340, 863, 29396
